Mã ICD,Tên bệnh
T02.6,gãy xương tác động nhiều vùng của chi trên và chi dưới
T02.7,gãy xương tác động ngực với lưng dưới và khung chậu với chi
T02.8,gãy xương tác động kết hợp khác của nhiều vùng cơ thể
T02.9,gãy xương nhiều vị trí chưa xác định
T03,sai khớp bong gân căng cơ tác động của nhiều vùng cơ thể
T03.0,sai khớp bong gân căng cơ tác động của nhiều vùng cơ thể
T03.1,sai khớp bong gân căng cơ tác động của ngực với lưng dưới và khung chậu
T03.2,sai khớp bong gân căng cơ tác động nhiều vùng chi trên
T03.3,sai khớp bong gân căng cơ tác động nhiều của vùng chi dưới
T03.4,sai khớp bong gân căng cơ tác động của nhiều vùng của chi trên và chi dưới
T03.8,sai khớp bong gân căng cơ tác động kết hợp khác của các vùng cơ thể
T03.9,nhiều sai khớp bong gân căng cơ chưa xác định
T04,tổn thương dập nát tác động nhiều vùng cơ thể
T04.0,tổn thương dập nát tác động đầu với cổ
T04.1,tổn thương dập nát tác động ngực với bụng lưng dưới và khung chậu
T04.2,tổn thương giập nát tác động nhiều vùng của chi trên
T04.3,tổn thương dập nát tác động nhiều vùng các chi dưới
T04.4,tổn thương dập nát tác động nhiều vùng của các chi trên và các chi dưới
T04.7,tổn thương dập nát của ngực với bụng lưng dưới và khung chậu với các chi
T04.8,tổn thương dập nát tác động kết hợp các vùng cơ thể
V60,người trên xtn bị thương khi va chạm với người đi bộ hay súc vật
V61,người trên xtn bị thương khi va chạm với xe đạp
Z08.2,khám theo dõi sau hóa trị liệu u ác tính
Z08.7,khám theo dõi sau điều trị phối hợp u ác tính
Z08.8,khám theo dõi sau điều trị khác của u ác tính
Z08.9,khám theo dõi sau điều trị không đặc hiệu của u ác tính
Z09,khám theo dõi sau điều trị các tình trạng bệnh khác đi kèm với khối u ác tính
Z09.0,khám theo dõi sau phẫu các tình trạng khác
Z09.1,khám theo dõi sau xạ trị liệu các tình trạng khác
Z09.2,khám theo dõi sau hóa trị liệu các trạng thái khác
Z09.3,khám theo dõi sau tâm lí liệu pháp
Z09.4,khám theo dõi sau điều trị gãy xương
Z09.7,khám theo dõi sau điều trị phối hợp các trạng thái khác
Z09.8,khám theo dõi sau điều trị khác của các trạng thái khác
Z09.9,khám theo dõi sau điều trị không đặc hiệu của các trạng thái khác
Z10,kiểm tra sức khỏe tổng quát thường quy cho nhóm dân cư xác định
Z10.0,khám sức khỏe về nghề nghiệp
T84.1,biến chứng cơ học của thiết bị cố định bên trong xương các chi
T84.2,biến chứng cơ học của thiết bị cố định bên trong xương khác
T84.3,biến chứng cơ học của thiết bị xương khác cấy và ghép
T84.4,biến chứng cơ học của thiết bị chỉnh hình bên trong khác cấy và ghép
T84.5,nhiễm trùng và phản ứng viêm do khớp nhân tạo bên trong
T84.6,nhiễm trùng và phản ứng viêm do thiết bị nhân tạo chỉnh hình bên trong bất kỳ vị trí nào
T84.7,nhiễm trùng và phản ứng viêm do thiết bị nhân tạo chỉnh hình bên trong khác cấy và ghép
T84.8,biến chứng khác của thiết bị nhân tạo chỉnh hình bên trong cấy và ghép
T84.9,biến chứng chưa xác định của thiết bị nhân tạo chỉnh hình bên trong cấy và ghép
T85,biến chứng của thiết bị nhân tạo bên trong khác cấy và ghép
T85.0,biến chứng cơ học của lưu thông não thất nội sọ chuyển hướng
T85.1,biến chứng cơ học của cấy kích thích điện tử của hệ thần kinh
T85.2,biến chứng cơ học của thủy tinh thể trong nội nhãn cầu
T85.3,biến chứng cơ học của thiết bị mắt nhân tạo khác cấy và ghép
T85.4,biến chứng cơ của vú nhân tạo và ghép
T85.5,biến chứng cơ học của thiết bị nhân tạo dạ dày ruột cấy và ghép
T85.6,biến chứng cơ học thiết bị nhân tạo đặc hiệu bên trong khác cấy và ghép
Y57.3,thuốc giải rượu
Y57.4,tá dược
Y57.5,chất cản quang
Y57.6,các chất dùng để chẩn đoán khác
Y57.7,vitamin không xếp loại nơi khác
Y57.8,thuốc dược chất khác
Y57.9,thuốc dược chất không rõ đặc điểm
Y58,vaccin vi khuẩn
Y58.0,vaccin bcg
Y58.1,vaccin thương hàn và phó thương hàn
Y58.2,vaccin tả
Y58.3,vaccin dịch hạch
Y58.4,vaccin uốn ván
Y58.5,vaccin bạch hầu
Y58.6,vaccin ho gà bao gồm phối hợp với 1 thành phần ho gà
Y58.8,vaccin phối hợp vi khuẩn trừ phối hợp 1 thành phần ho gà
Y58.9,vaccin khác và không rõ đặc điểm
Y59,các vaccin vc và sinh chất khác không đặc hiệu
Y59.0,vaccin virus
Y59.1,vaccin rickettsia
Z10.1,kiểm tra sức khỏe tổng quát thường quy cho nhân viên cơ quan
Z10.2,kiểm tra sức khỏe tổng quát thường quy của lực lượng vũ trang
Z10.3,kiểm tra sức khỏe tổng quát thường quy cho các đội thể thao
Z10.8,kiểm tra sức khỏe tổng quát thường quy cho các nhóm dân cư xác định khác
Z11,khám sàng lọc đặc biệt các bệnh nhiễm khuẩn và ký sinh trùng
Z11.0,khám sàng lọc đặc biệt về các bệnh nhiễm khuẩn đường ruột
Z11.1,khám sàng lọc đặc biệt về lao phổi
Z11.2,khám sàng lọc đặc biệt về các bệnh nhiễm khuẩn khác
Z11.3,khám sàng lọc đặc biệt về các nhiễm khuẩn có đường lây chủ yếu qua tình dục
Z11.4,khám sàng lọc đặc biệt về virus suy giảm miễn dịch người hiv
Z11.5,khám sàng lọc đặc biệt về các bệnh virus khác
Z11.6,khám sàng lọc đặc biệt về các bệnh do động vật đơn bào khác và giun sán
Z11.8,khám sàng lọc đặc biệt về các bệnh nhiễm khuẩn và ký sinh vật khác
Z11.9,khám sàng lọc đặc biệt về các bệnh nhiễm khuẩn và ký sinh vật khác không đặc hiệu
Z12,khám sàng lọc đặc biệt các khối u
Z12.0,khám sàng lọc đặc biệt u dạ dày
Z12.1,khám sàng lọc đặc biệt u đường ruột
S91.2,vết thương hở tại ngón chân với tổn thương móng
S91.3,vết thương hở tại phần khác của bàn chân
S91.7,đa vết thương hở ở cẳng chân và bàn chân
S91.70,đa vết thương hở ở cẳng chân và bàn chân gãy kín
S91.71,đa vết thương hở ở cẳng chân và bàn chân gãy hở
S92,gãy xương bàn chân trừ cổ chân
S92.0,gãy xương gót
S92.00,gãy xương gót gãy kín
S92.01,gãy xương gót gãy hở
S92.1,gãy xương mắt cá
S92.10,gãy xương mắt cá gãy kín
S92.11,gãy xương mắt cá gãy hở
S92.2,gãy xương cổ chân khác
S92.20,gãy xương cổ chân khác gãy kín
S92.21,gãy xương cổ chân khác gãy hở
S92.3,gãy xương đốt bàn chân
S92.30,gãy xương đốt bàn chân gãy kín
S92.31,gãy xương đốt bàn chân gãy hở
S92.4,gãy xương ngón chân cái
S92.40,gãy xương ngón chân cái gãy kín
Y59.2,vaccin đơn bào
Y59.3,globulin miễn dịch
Y59.8,các vaccin và sinh chất đặc biệt khác
Y59.9,các vaccin và sinh chất không đặc hiệu
Y60,không cố ý cắt chọc làm thủng chảy máu trong trong phẫu thuật và thủ thuật
Y60.0,trong khi mổ
Y60.1,trong truyền dịch hay máu
Y60.2,trong chạy thận nhân tạo hay truyền khác
Y60.3,trong khi tiêm hay gây miễn dịch
Y60.4,trong khám nội soi
Y60.5,trong thông tim
Y60.6,trong hút chọc hay thông khác
Y60.7,trong khi thụt
Y60.8,trong chăm sóc nội ngoại khoa khác
Y60.9,trong chăm sóc nội ngoại khoa không đặc biệt
Y61,dị vật nhỡ để quên trong cơ thể trong khi chăm sóc nội ngoại khoa
Y61.0,trong mổ
Y61.1,trong truyền dịch hay máu
Y61.2,trong chạy thận nhân tạo hay truyền khác
Y61.3,trong tiêm hay gây miễn dịch
Y61.4,trong khám nội soi
Y61.5,trong thông tim
Y61.6,trong hút chọc và thông khác
Y61.7,trong khi rút catheter hay bọc lại
Y61.8,trong chăm sóc nội ngoại khoa khác
Y61.9,trong chăm sóc nội ngoại khoa không xác định chính xác
Y62,không đảm bảo vô trùng trong chăm sóc nội ngoại khoa
Y62.0,trong mổ
Y62.1,trong truyền dịch hay máu
Y62.2,trong chạy thận nhân tạo hay truyền khác
Y62.3,trong tiêm hay gây miễn dịch
Y62.4,trong khám nội soi
Y62.5,trong thông tim
Y62.6,trong hút chọc và thông khác
Y62.8,trong chăm sóc nội ngoại khoa khác
Y62.9,trong chăm sóc nội ngoại khoa không xác định chính xác
Y63,không đảm bảo liều lượng trong chăm sóc nội ngoại khoa
Y63.0,cho quá nhiều máu hay dịch trong truyền máu truyền dịch
Y63.1,pha loãng dịch không đúng trong truyền dịch
Y63.2,quá liều tia xạ trong khi điều trị
Y63.3,phơi nhiễm của bệnh nhân do bất cẩn trước tia xạ trong chăm sóc y tế
S92.41,gãy xương ngón chân cái gãy hở
S92.5,gãy xương ngón chân khác
S92.50,gãy xương ngón chân khác gãy kín
S92.51,gãy xương ngón chân khác gãy hở
S92.7,gãy nhiều xương bàn chân
S92.70,gãy nhiều xương bàn chân gãy kín
S92.71,gãy nhiều xương bàn chân gãy hở
S92.9,gãy xương bàn chân chưa xác định
S93,sai khớp bong gân căng cơ khớp và dây chằng tại tầm cẳng chân và bàn chân
S93.0,sai khớp cổ chân
S93.1,sai khớp ngón chân
S93.2,đứt dây chằng tại tầm cẳng chân và bàn chân
S93.3,sai khớp phần khác và chưa xác định tại bàn chân
S93.4,bong gân và căng cơ cổ chân
S93.5,bong gân và căng cơ ngón chân
S93.6,bong gân và căng cơ phần khác chưa xác định của bàn chân
S94,tổn thương dây thần kinh tại tầm cổ chân và bàn chân
S94.0,tổn thương dây thần kinh bên bàn chân
S94.1,tổn thương dây thần kinh giữa bàn chân
S94.2,tổn thương dây thần kinh sâu xương mác tại tầm cổ chân và bàn chân
S94.3,tổn thương dây thần kinh cảm giác da tầm cổ chân và bàn chân
S94.7,tổn thương đa dây thần kinh tại tầm cổ chân và bàn chân
S94.8,tổn thương dây thần kinh khác tại tầm cổ chân và bàn chân
S94.9,tổn thương dây thần kinh chưa xác định tại tầm cổ chân và bàn chân
S95,tổn thương mạch máu tại tầm cổ chân và bàn chân
S95.0,tổn thương động mạch mu bàn chân
S95.1,tổn thương động mạch gan bàn chân
S95.2,tổn thương tĩnh mạch mu bàn chân
S95.7,tổn thương đa mạch máu tại tầm cổ chân và bàn chân
S95.8,tổn thương mạch máu khác tại tầm cổ chân và bàn chân
S95.9,tổn thương mạch máu chưa xác định tầm cổ chân và bàn chân
S96,tổn thương cơ bắp và gân tại tầm cổ chân và bàn chân
S96.0,tổn thương cơ và gân cơ gấp dài của ngón tại tầm cổ chân và bàn chân
S96.1,tổn thương cơ và gân cơ duỗi dài của ngón tại tầm cổ chân và bàn chân
S96.2,tổn thương cơ trong và gân tại tầm cổ chân và bàn chân
S96.7,tổn thương đa cơ và gân tại tầm cổ chân và bàn chân
Y63.4,sai liều trong sốc điện hay liệu pháp sốc insulin
Y63.5,nhiệt độ không phù hợp trong khi áp tại chỗ hay đắp quanh người
Y63.6,không dùng thuốc dược chất sinh chất không cần thiết
Y63.8,sự cố trong chăm sóc nội ngoại khoa khác
Y63.9,sự cố trong chăm sóc nội ngoại khoa không xác định chính xác
Y64,chất liệu y tế hay sinh học lây nhiễm
Y64.0,chất liệu y tế sinh học máu truyền chất truyền lây nhiễm
S66.9,tổn thương cơ chưa xác định và gân tại tầm cổ tay và bàn tay
S67,tổn thương dập nát cổ tay và bàn tay
S67.0,tổn thương dập nát ngón tay cái và các ngón tay khác
S67.8,tổn thương dập nát phần khác và chưa xác định của cổ tay và bàn tay
S68,chấn thương cắt cụt cổ tay và bàn tay
S68.0,chấn thương cắt cụt ngón tay cái toàn phần một phần
S68.1,chấn thương cắt cụt ngón tay khác toàn phần một phần
S68.2,chấn thương cắt cụt hai hoặc nhiều ngón tay đơn thuần toàn phần một phần
S68.3,chấn thương cắt cụt kết hợp một phần ngón tay với phần khác của cổ tay và bàn tay
S68.4,chấn thương cắt cụt tại cổ tay và bàn tay
S68.8,chấn thương cắt cụt phần khác của cổ tay và bàn tay
S68.9,chấn thương cắt cụt cổ tay và bàn tay tầm chưa xác định
S69,tổn thương khác và chưa xác định của cổ tay và bàn tay
S69.7,đa tổn thương cổ tay và bàn tay
S69.8,tổn thương xác định khác của cổ tay và bàn tay
S69.9,tổn thương chưa xác định của cổ tay và bàn tay
S70,tổn thương nông tại háng và đùi
S70.0,đụng giập tại háng
S70.1,đụng giập tại đùi
S70.7,đa tổn thương nông tại háng và đùi
S70.8,tổn thương nông khác tại háng và đùi
S70.9,tổn thương nông tại háng và đùi chưa xác định
S71,vết thương hở tại háng và đùi
S71.0,vết thương hở tại háng
S71.1,vết thương hở tại đùi
S71.7,đa vết thương hở tại háng và đùi
S71.8,vết thương hở phần khác chưa xác định của khung chậu
S72,gãy xương đùi
S72.0,gãy cổ xương đùi
S72.00,gãy cổ xương đùi gãy kín
