Mã ICD,Tên bệnh
T29.2,bỏng nhiều vùng không hơn bỏng độ hai đã đề cập
T29.3,bỏng nhiều vùng ít nhất có một bỏng độ ba đã đề cập
T29.4,ăn mòn nhiều vùng độ chưa xác định
T29.5,ăn mòn nhiều vùng không hơn ăn mòn độ một đã đề cập
T29.6,ăn mòn nhiều vùng không hơn ăn mòn độ hai đã đề cập
T29.7,ăn mòn nhiều vùng ít nhất có một ăn mòn độ ba đã đề cập
T30,bỏng và ăn mòn vùng cơ thể chưa xác định
T30.0,bỏng vùng cơ thể chưa xác định độ chưa xác định
T30.1,bỏng độ một vùng cơ thể chưa xác định
T30.2,bỏng độ hai vùng cơ thể chưa xác định
T30.3,bỏng độ ba vùng cơ thể chưa xác định
T30.4,ăn mòn vùng cơ thể chưa xác định độ chưa xác định
T30.5,ăn mòn độ một vùng cơ thể chưa xác định khác
T30.6,ăn mòn độ hai vùng cơ thể chưa xác định
T30.7,ăn mòn độ ba vùng cơ thể chưa xác định
T31,bỏng phân loại theo diện tích bề mặt cơ thể bị tổn thương
T31.0,bỏng tổn thương ít hơn 10 bề mặt cơ thể
T31.1,bỏng tổn thương10 19 bề mặt cơ thể
T31.2,bỏng tổn thương 20 29 bề mặt cơ thể
T31.3,bỏng tổn thương 30 39 bề mặt cơ thể
T31.4,bỏng tổn thương 40 49 bề mặt cơ thể
T31.5,bỏng tổn thương 50 59 bề mặt cơ thể
T31.6,bỏng tổn thương 60 69 bề mặt cơ thể
T31.7,bỏng tổn thương 70 79 bề mặt cơ thể
T31.8,bỏng tổn thương 80 89 bề mặt cơ thể
T31.9,bỏng tổn thương 90 hoặc hơn bề mặt cơ thể
T32,ăn mòn phân loại theo diện tích bề mặt cơ thể bị tổn thương
T32.0,ăn mòn tổn thương ít hơn 10 bề mặt cơ thể
T32.1,ăn mòn tổn thương 10 19 bề mặt cơ thể
T32.2,ăn mòn tổn thương 20 29 bề mặt cơ thể
T32.3,ăn mòn tổn thương 30 39 bề mặt cơ thể
T32.4,ăn mòn tổn thương 40 49 bề mặt cơ thể
T32.5,ăm mòn tổn thương 50 59 bề mặt cơ thể
T32.6,ăn mòn tổn thương 60 69 bề mặt cơ thể
T32.7,ăn mòn tổn thương 70 79 bề mặt cơ thể
Y12,ngộ độc và phơi nhiễm thuốc mê và thuốc làm hưng phấn tinh thần sinh hoang tưởng không xếp loại ở nơi khác không rõ ý đồ
Y13,ngộ độc và phơi nhiễm các thuốc khác tác dụng trên hệ thần kinh tự động không rõ ý đồ
Y14,ngộ độc và phơi nhiễm thuốc dược chất sinh chất khác không rõ đặc điểm không rõ ý đồ
Y15,ngộ độc và phơi nhiễm rượu không rõ ý đồ
Y16,ngộ độc và phơi nhiễm chất dung môi hữu cơ và hologenat carbon và các chất hơi của chúng không rõ ý đồ
Y17,ngộ độc và phơi nhiễm các khí và hơi khác không rõ ý đồ
Y18,ngộ độc và phơi nhiễm chất diệt súc vật không rõ ý đồ
Y19,ngộ độc và phơi nhiễm với hóa chất và chất có hại khác không rõ đặc điểm không rõ ý đồ
Y20,treo làm nghẹt làm ngạt thở không rõ ý đồ
Y21,ngã xuống nước ngập nước không rõ ý đồ
Y22,đạn súng tay không rõ ý đồ
Y23,đạn súng trường súng ngắn và súng to hơn không rõ ý đồ
Y24,đạn súng khác và không rõ đặc điểm không rõ ý đồ
Y25,tiếp xúc chất nổ không rõ ý đồ
Y26,phơi nhiễm khói cháy và lửa không rõ ý đồ
Y27,phơi nhiễm hơi nước hơi nước nóng và vật nóng không rõ ý đồ
Y28,tiếp xúc vật nhọn sắc không rõ ý đồ
Y29,tiếp xúc vật tù không rõ ý đồ
Y30,ngã nhảy hay bị đẩy từ một chỗ cao không rõ ý đồ
Y31,ngã nằm hay chạy trước hay chạy vào vật đang chuyển động không rõ ý đồ
Y32,bị mô tô cán không rõ ý đồ
Y33,các biến cố khác có biết rõ đặc điểm không rõ ý đồ
Y34,biến cố không rõ đặc điểm không rõ ý đồ
Y35,can thiệp hợp pháp
Y35.0,can thiệp hợp pháp liên quan đến đạn súng tay
Y35.1,can thiệp hợp pháp liên quan đến chất nổ
Y35.2,can thiệp hợp pháp liên quan đến khí
Y35.3,can thiệp hợp pháp liên quan vật tầy
Z83.2,tiền sử gia đình có các bệnh về máu và cơ quan tạo máu và một số rối loạn về cơ chế miễn dịch
Z83.3,tiền sử gia đình có bệnh đái tháo đường
Z83.4,tiền sử gia đình có các bệnh về nội tiết dinh dưỡng và chuyển hóa
Z83.5,tiền sử gia đình có các rối loạn thị giác và thính giác
Z83.6,tiền sử gia đình có các bệnh hô hấp
Z83.7,tiền sử gia đình có các bệnh thuộc hệ tiêu hóa
U07.2,covid 19 nghi ngờ hoặc có thể chưa có kết quả xét nghiệm khẳng định sars cov 2
S53.2,chấn thương đứt dây chằng hai bên xương quay
S53.3,chấn thương đứt dây chằng hai bên xương trụ
S53.4,bong gân và căng cơ khủyu tay
S54,tổn thương dây thần kinh cẳng tay
S54.0,tổn thương dây thần kinh trụ ở tầm cẳng tay
S54.1,tổn thương dây thần kinh xương quay ở tầm cẳng tay
S54.2,tổn thương dây thần kinh xương quay ở tầm cẳng tay
S54.3,tổn thương dây thần kinh cảm giác da ở tầm cẳng tay
S54.7,tổn thương đa dây thần kinh ở tầm cẳng tay
S54.8,tổn thương dây thần kinh khác ở tầm cẳng tay
S54.9,tổn thương dây thần kinh chưa xác định ở tầm cẳng tay
S55,tổn thương mạch máu ở tầm cẳng tay
S55.0,tổn thương động mạch xương trụ ở tầm cẳng tay
S55.1,tổn thương động mạch xương quay ở tầm cẳng tay
S55.2,tổn thương đa mạch máu ở tầm cẳng tay
S55.7,tổn thương đa mạch máu ở tầm cẳng tay
S55.8,tổn thương mạch máu khác ở tầm cẳng tay
S55.9,tổn thương mạch máu chưa rõ ở tầm cẳng tay
S56,tổn thương cơ bắp và gân ở tầm cẳng tay
S56.0,tổn thương cơ gấp và gân ngón tay cái ở tầm cẳng tay
S56.1,tổn thương cơ gấp và ngón tay khác ở tầm cẳng tay
S56.2,tổn thương cơ gấp khác và gân ở tầm cẳng tay
S56.3,tổn thương cơ duỗi và cơ giạng và gân ngón tay cái ở tầm cẳng tay
S56.4,tổn thương cơ duỗi và gân ngón khác ở tầm cẳng tay
S56.5,tổn thương cơ duỗi khác và gân ở tầm cẳng tay
S56.7,tổn thương đa cơ và gân ở tầm cẳng tay
S56.8,tổn thương cơ khác chưa xác định và gân tầm cẳng tay
S57,tổn thương dập nát ở cẳng tay
S57.0,tổn thương dập nát ở khủyu tay
S57.8,tổn thương dập nát ở phần khác cẳng tay
S57.9,tổn thương dập nát ở cẳng tay phần chưa xác định
S58,chấn thương cắt cụt ở cẳng tay
S58.0,chấn thương cắt cụt ở tầm khủyu tay
S58.1,chấn thương cắt cụt ở tầm giữa khủyu và cổ tay
S58.9,chấn thương cắt cụt ở cẳng tay tầm chưa xác định
S59,tổn thương khác và chưa xác định của cẳng tay
H35.3,thoái hóa hoàng điểm và cực sau
H35.4,thoái hóa võng mạc ngoại biên
H35.5,loạn dưỡng võng mạc di truyền
H35.6,xuất huyết võng mạc
H35.7,bong các lớp võng mạc
H35.8,bệnh võng mạc xác định khác
H35.9,bệnh võng mạc không đặc hiệu
H36,bệnh võng mạc trong các bệnh phân loại nơi khác
H36.0,bệnh lý võng mạc do đái tháo đường e10 e14 với ký tự thứ tư chung là 3
H36.8,bệnh võng mạc khác trong các bệnh phân loại nơi khác
H40,glôcôm
H40.0,nghi ngờ glocom
H40.1,glocom góc mở nguyên phát
H40.2,glocom góc đóng nguyên phát
H40.3,glocom thứ phát do chấn thương mắt
H40.4,glocom thứ phát do viêm mắt
H40.5,glocom thứ phát do bệnh mắt khác
H40.6,glocom thứ phát do thuốc
T04.9,đa tổn thương dập nát chưa xác định
T05,chấn thương cắt cụt tác động nhiều vùng cơ thể
T05.0,chấn thương cắt cụt cả hai bàn tay
T05.1,chấn thương cắt cụt một bàn tay và tay khác tầm bất kỳ trừ bàn tay
T05.2,chấn thương cắt cụt cả hai bàn tay tầm bất kỳ
T05.3,chấn thương cắt cụt cả hai bàn chân
T05.4,chấn thương cắt cụt một bàn chân và chân khác tầm bất kỳ trừ bàn chân
T05.5,chấn thương cắt cụt cả hai chân tầm bất kỳ
T05.6,chấn thương cắt cụt cả hai chân tầm bất kỳ
T05.8,chấn thương cắt cụt tác động kết hợp khác các vùng cơ thể
T05.9,đa chấn thương cắt cụt chưa xác định
T06,tổn thương khác tác động nhiều vùng cơ thể không xếp loại nơi khác
T06.0,tổn thương của não và dây thần kinh sọ với tổn thương của dây thần kinh và cột sống tại tầm cổ
T06.1,tổn thương dây thần kinh và cột sống tác động nhiều vùng khác
T06.2,tổn thương dây thần kinh tác động nhiều vùng cơ thể
T06.3,tổn thương mạch máu tác động nhiều vùng cơ thể
T06.4,tổn thương cơ và gân tác động nhiều vùng cơ thể
T06.5,tổn thương phủ tạng trong lồng ngực với trong ổ bụng và phủ tạng khung chậu
T32.8,ăn mòn tổn thương 80 89 bề mặt cơ thể
T32.9,ăn mòn tổn thương 90 hoặc hơn bề mặt cơ thể
T33,tổn thương nông do cóng lạnh
T33.0,tổn thương do cóng lạnh tại đầu
T33.1,tổn thương nông do cóng lạnh tại cổ
T33.2,tổn thương nông do cóng lạnh tại ngực
T33.3,tổn thương nông do cóng lạnh tại thành bụng lưng dưới và khung chậu
